,Text,Label,ID,Offsets
4329,"Scott has had various marketing, sales and international roles with the United States Army, General Electric, Cameron International, Rolls-Royce and Southwest Oilfield Products.",None,article_00210.pre.xmi:083,[]
13176,"The results have been impressive, and without the expense of custom software and services.",None,article_00638.pre.xmi:011,[]
13567,"Historical performance results for investment indices and/or categories generally do not reflect the deduction of transaction and/or custodial charges, the deductions of an investment management fee, nor the impact of taxes, the incurrence of which would have the effect of decreasing historical performance results.",None,article_00657.pre.xmi:022,[]
10638,"""We will consistently provide our customers with the best newsprint and other products and services by working together as an efficient, safe and publicly responsible team.""",About,article_00509.pre.xmi:003,"[{u'text': 'We', u'endOffset': 3, u'beginOffset': 1, u'label': u'Company'}, {u'text': 'newsprint', u'endOffset': 67, u'beginOffset': 58, u'label': u'ProductService'}]"
5725,We won't call you unless there is a query with your order,None,article_00267.pre.xmi:001,[]
15204,"But far beyond that, Jamie is the type of person everyone likes.",None,article_00737.pre.xmi:020,[]
762,"We give you the flexibility of having us work with your flavor and fragrance suppliers, or we can deliver turn key product from us.",None,article_00042.pre.xmi:025,[]
11488,W.K.,None,article_00550.pre.xmi:001,[]
110,"Encore Plastics is a division of Encore Industries, Inc. Encore was",None,article_00007.pre.xmi:013,[]
2442,All for under $600,None,article_00121.pre.xmi:005,[]
6669,Brett advises and invests in startups and is an active real estate investor.,None,article_00313.pre.xmi:037,[]
8470,"U-C Coatings, LLC headquartered in Buffalo, NY, is the parent company of the Seal-Once™ brand of non-toxic, eco-friendly Zero voc waterproofing sealers for all wood, composite decking and concrete and masonry surfaces.",About,article_00398.pre.xmi:004,"[{u'text': u'Seal-Once\u2122', u'endOffset': 87, u'beginOffset': 77, u'label': u'Company'}, {u'text': u'Zero voc waterproofing sealers', u'endOffset': 151, u'beginOffset': 121, u'label': u'ProductService'}]"
2754,Our Smart Battery is British invented and manufactured.,None,article_00134.pre.xmi:027,[]
9522,"If you think you don't have any questions, think of some questions anyway.",None,article_00453.pre.xmi:014,[]
6210,"New York, NY 10022",None,article_00288.pre.xmi:001,[]
4077,"Ayan Shafqat, Software Engineering",None,article_00202.pre.xmi:045,[]
11208,This is the first time that two such awards have been won by a broker and demonstrates the high regard that autonet is held in by the industry and it is the second time in four years that we have won Personal Lines Broker of the Year.,None,article_00538.pre.xmi:012,[]
6560,LinkedIn Profile .,None,article_00308.pre.xmi:034,[]
13447,"If not, he would resign with no financial obligations to the company.",None,article_00651.pre.xmi:032,[]
245,Promote Education,None,article_00016.pre.xmi:001,[]
14308,To strengthen local economies by bringing an unprecedented level of convenience to local shopping and helping to keep your money in your neighborhood.,About,article_00694.pre.xmi:003,"[{u'text': 'To strengthen local economies by bringing an unprecedented level of convenience to local shopping and helping to keep your money in your neighborhood', u'endOffset': 149, u'beginOffset': 0, u'label': u'Purpose'}]"
9234,Pre-Order $590,None,article_00441.pre.xmi:001,[]
12048,"Drummond Paris, Chairman of the Board",None,article_00580.pre.xmi:013,[]
95,He was awarded the 'Innovative biomedical application award' for 2013 and 2014 for his work on miniature diagnostic systems.,None,article_00006.pre.xmi:015,[]
12717,704.900.6606,None,article_00612.pre.xmi:027,[]
2611,The numerical rank stored in each of the three fields was added together (revenue rank + vehicle rank + driver rank) to provide a rank sum.,None,article_00127.pre.xmi:023,[]
8115,"If this sounds like a fit for you, please check out our open positions on our Careers page.",None,article_00380.pre.xmi:017,[]
2818,in Biochemistry from the University of Wisconsin-Madison and his Ph.D. in Chemistry in the laboratory of Professor Marvin Caruthers at the University of Colorado at Boulder.,None,article_00138.pre.xmi:021,[]
219,"Customers can order via website, email, fax, or phone.",None,article_00014.pre.xmi:012,[]
7937,"He founded LexOrbis IP Practice, India's top patent firm.",About,article_00376.pre.xmi:004,"[{u'text': 'LexOrbis IP Practice', u'endOffset': 31, u'beginOffset': 11, u'label': u'Company'}, {u'text': 'patent firm', u'endOffset': 56, u'beginOffset': 45, u'label': u'ProductService'}]"
2733,Our Smart Battery helps households save money by storing spare-solar or cheap tariff electricity.,None,article_00134.pre.xmi:006,[]
5386,May-16,None,article_00250.pre.xmi:061,[]
2457,About GeoVisual Analytics,None,article_00123.pre.xmi:002,[]
2533,Head of Operations,None,article_00124.pre.xmi:057,[]
5613,​CEO Elizabeth Farrant,None,article_00260.pre.xmi:012,[]
4982,Steals other people's bio.,None,article_00239.pre.xmi:065,[]
5701,"A mix of software, electronics and mechanical engineering means, with each person bringing something unique to the table, these are the people that are making Dukosi's ideas a reality.",None,article_00264.pre.xmi:011,[]
6074,About us,None,article_00283.pre.xmi:002,[]
10768,Dedicated to temperature control,None,article_00515.pre.xmi:001,[]
8025,"Founded in 1999, Gasco is a leading producer of precision calibration gas.",About,article_00378.pre.xmi:011,"[{u'text': u'Gasco', u'endOffset': 22, u'beginOffset': 17, u'label': u'Company'}, {u'text': u'precision calibration gas', u'endOffset': 73, u'beginOffset': 48, u'label': u'ProductService'}]"
4606,Van Rooyen vision of a management company providing superior service with optimum performance has come to fruition with the associations Home Encounter oversees.,None,article_00225.pre.xmi:041,[]
15819,Moximed was founded on the principles of joint unloading and is currently focused on providing a joint preserving option that will allow patients with knee OA to live the highly active lives that they expect and deserve.,None,article_00764.pre.xmi:004,[]
15057,Huntley has interest in nearly 600 wells across the country.,None,article_00731.pre.xmi:008,[]
319,Do I have a pest issue?,None,article_00020.pre.xmi:007,[]
15012,"When you are successful, we're successful.",None,article_00728.pre.xmi:017,[]
2375,"Immediately prior to Drexel Hamilton, Mr. Appleby served as Executive Vice President and Chief Operating Officer of Black Knight Advisers, LLC, an emerging asset manager specializing in stable value fund management.",About,article_00117.pre.xmi:038,"[{u'text': u'Black Knight Advisers, LLC', u'endOffset': 142, u'beginOffset': 116, u'label': u'Company'}, {u'text': u'asset manager', u'endOffset': 169, u'beginOffset': 156, u'label': u'ProductService'}, {u'text': u'stable value fund management', u'endOffset': 214, u'beginOffset': 186, u'label': u'ProductService'}]"
3337,"30,000 Orders Filled per Year",None,article_00163.pre.xmi:018,[]
10483,Better fabrics.,None,article_00504.pre.xmi:007,[]
11335,customers while maintaining the highest level of business practices and being an outstanding,None,article_00543.pre.xmi:021,[]
330,Scalable Anywhere,None,article_00020.pre.xmi:018,[]
1786,"Whenever you go to a business you found on BeerMenus, let them know!",None,article_00087.pre.xmi:010,[]
812,Master batches can be easily integrated into your production process by utilizing ScentSational's proprietary manufacturing guidelines.,None,article_00042.pre.xmi:075,[]
1978,She serves on the Board of Directors of the Home Performance Coalition and the advisory board of the National Energy and Utility Affordability Conference.,None,article_00096.pre.xmi:035,[]
3116,Riley is our humble attempt to bring a product to the world that our community loves and makes their lives better.,None,article_00154.pre.xmi:004,[]
13288,We believe that geographical limitations in finance should be a thing of the past.,None,article_00642.pre.xmi:010,[]
613,"For growers that work 24/7 without ever knowing whether or not they will make a profit, who constantly struggle to hold down input costs as a leading factor in their success, Fertizona promises to balance industry expertise and service with solid business solutions, by offering the best combination of consulting, service and financial programs at a fair market price.",About,article_00035.pre.xmi:022,"[{u'text': u'Fertizona', u'endOffset': 184, u'beginOffset': 175, u'label': u'Company'}, {u'text': u'offering the best combination of consulting, service and financial programs at a fair market price', u'endOffset': 368, u'beginOffset': 270, u'label': u'ValueProposition'}]"
1282,"Haydale Composite Solutions Limited (HCS) specialises in the design, development and commercialisation of advanced polymer composite materials on a global basis.",About,article_00068.pre.xmi:007,"[{u'text': u'Haydale Composite Solutions Limited (HCS)', u'endOffset': 41, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'design, development and commercialisation of advanced polymer composite materials', u'endOffset': 142, u'beginOffset': 61, u'label': u'ProductService'}]"
11775,DEAL FLOW MANAGEMENT,None,article_00565.pre.xmi:002,[]
5714,G4S Custodial Services Pty Ltd,None,article_00265.pre.xmi:012,[]
4993,Josh,None,article_00239.pre.xmi:076,[]
11628,Something you would like to see?,None,article_00555.pre.xmi:012,[]
7677,About Viper Drill,None,article_00364.pre.xmi:002,[]
8114,"And we cultivate an atmosphere of play, where our passionate team is applying our many talents together to build the future of the connected car and the connected world.",None,article_00380.pre.xmi:016,[]
10841,Companies,None,article_00519.pre.xmi:006,[]
4525,Our Story,None,article_00222.pre.xmi:004,[]
12432,About Us,None,article_00600.pre.xmi:002,[]
11028,"For more information on DataLase, please fill out the enquiry form in the Contact Us web page or alternatively email info@www.datalase.com",None,article_00527.pre.xmi:011,[]
16378,"To enable ambitious, talented students to crowdfund towards the cost of university and access the best internships and jobs.",About,article_00791.pre.xmi:003,"[{u'text': u'To enable ambitious, talented students to crowdfund towards the cost of university and access the best internships and jobs', u'endOffset': 123, u'beginOffset': 0, u'label': u'Purpose'}]"
12031,Repurpose material that cannot be recycled.,None,article_00579.pre.xmi:028,[]
3921,Lance Holt (RMO).,None,article_00198.pre.xmi:019,[]
7305,"• Launched Healthy Workforce Alliance™ Wellness program in September 2012 to bring greater economies of scale to employers who want to adopt wellness as a part of their corporate culture to address the issues of injury prevention, absenteeism and productivity relating to employee health",None,article_00345.pre.xmi:043,[]
13322,"In the end, I bought some plants from a nearby supermarket but, within four weeks, they were dead.",None,article_00645.pre.xmi:010,[]
9740,We believe we're the ones to do it.,None,article_00467.pre.xmi:008,[]
5225,She loves to travel and discover new cultures.,None,article_00246.pre.xmi:046,[]
11874,"The designs are antiquated, and the infrastructure is aging and vulnerable to attack or failure.",None,article_00571.pre.xmi:004,[]
12038,Ann graduated from the University of Cambridge with a degree in Natural Sciences and joined ICI Agrochemicals.,None,article_00580.pre.xmi:003,[]
3018,All attendees need to do is place the Loopd Badge on their smartphones screen.,None,article_00147.pre.xmi:006,[]
2692,We are passionate about what we do and having fun while we do it.,None,article_00130.pre.xmi:015,[]
9982,"Prior to that, Derek was a talent agent at The Gersh Agency where he led market research and analysis efforts for the TV literary department.",None,article_00480.pre.xmi:030,[]
11512,"Mr. Greco, an entrepreneur and venture advisor and founder of Cupule Ventures, provides venture development and support to early stage Biotech, Life Science, Material Science and Technology companies, concentrated across Upstate New York.",None,article_00550.pre.xmi:025,[]
8746,Proven,None,article_00416.pre.xmi:019,[]
8759,All rights reserved.,None,article_00417.pre.xmi:012,[]
4681,"Josh is also widely known as an expert presenter, negotiator and businessperson able to forge solid relationships with strategic partners, maximizing profit for dealer partners while providing exemplary service to consumers.",None,article_00226.pre.xmi:059,[]
10791,"Prior to co-founding Meritum Energy Holdings in 2015, Chris was a co-founder of JP Energy Partners (JPEP).",None,article_00516.pre.xmi:010,[]
10159,Contact Us,None,article_00486.pre.xmi:001,[]
2664,"Residential development is a cornerstone of helping to create a 24 hour live/work community that thrives economically, socially and culturally.",None,article_00129.pre.xmi:013,[]
92,CLOUD LEE graduated from the University of Houston with a masters degree in materials engineering.,None,article_00006.pre.xmi:012,[]
9364,Forms & Publications Careers,None,article_00444.pre.xmi:001,[]
1731,"Our focus on risk management and our commitment to our clients and communities we serve have helped us succeed as an organization, and, most importantly, as trusted advisors.",None,article_00085.pre.xmi:013,[]
4343,Please visit us at our first retail location,None,article_00211.pre.xmi:001,[]
10424,"Did you know that starting on October 1, 2017, approximately $1 Billion per year in loan forgiveness will become available?",None,article_00502.pre.xmi:009,[]
9965,"Prior to Zumbox, Adam was Managing Director of Taberna Securities in London, England.",None,article_00480.pre.xmi:013,[]
2318,We believe technology has the unique power to give businesses of all types and sizes the potential to reach their dreams.,None,article_00115.pre.xmi:004,[]
11720,#foodscience #winelover #winery #chemistry #foodtech #sf #sfbayarea #startup #engineer,None,article_00560.pre.xmi:036,[]
8893,"Mr. Dinkin has received several business awards, including Long Island Entrepreneur of the Year from Inc. Magazine and a Clio Award for his Marie Callender design work.",None,article_00423.pre.xmi:026,[]
14709,About MyPolicy,None,article_00714.pre.xmi:019,[]
8727,"Gary Guidry, President and CEO, March 2017",None,article_00415.pre.xmi:012,[]
15933,These distribution partners have been selected to distribute Willowood USA products because they provide excellent product knowledge and customer service to the American farmer.,None,article_00768.pre.xmi:021,[]
9150,About Us,None,article_00436.pre.xmi:001,[]
1451,Pine Gate Renewables plans and builds small utility-scale solar farms that generate clean renewable power for the communities in which they are located.,About,article_00078.pre.xmi:006,"[{u'text': u'plans and builds small utility-scale solar farms', u'endOffset': 69, u'beginOffset': 21, u'label': u'ProductService'}]"
3467,Andras Forgacs,None,article_00174.pre.xmi:005,[]
13942,Brenden is a Marketing Strategist with a background in web development.,None,article_00676.pre.xmi:039,[]
6147,Get noticed online with a great domain name,None,article_00285.pre.xmi:015,[]
7201,Executive Team,None,article_00340.pre.xmi:006,[]
6724,"The earlier part of Mark's career was in media where he spent eight years with Network Ten, culminating in four years heading up Network Ten in Brisbane.",None,article_00315.pre.xmi:006,[]
2794,"In addition, we are developing our ANB019 product candidate, an antibody that inhibits the interleukin-36 receptor, for the treatment of rare inflammatory diseases called generalized pustular psoriasis (GPP) and palmoplantar pustular psoriasis (PPP).",None,article_00137.pre.xmi:008,[]
3869,"WattBox provides green, cost-competitive power for remote sites",About,article_00196.pre.xmi:002,"[{u'text': 'WattBox', u'endOffset': 7, u'beginOffset': 0, u'label': u'Company'}, {u'text': 'green, cost-competitive power', u'endOffset': 46, u'beginOffset': 17, u'label': u'ValueProposition'}]"
5018,Graduating from Saint Mary's University with a degree in science w...,None,article_00240.pre.xmi:001,[]
1943,"SafeShare at the Future of General Insurance 2016 November 10th, 2016SafeShare",None,article_00095.pre.xmi:009,[]
8341,"Making a world of difference, to a world of people.",None,article_00390.pre.xmi:007,[]
13136,Locations,None,article_00635.pre.xmi:013,[]
13666,"This architecture will enable a powerful convergence, unification and standardization at the networking, security, data, computing, and control levels.",None,article_00664.pre.xmi:011,[]
12353,Adrian Fawcett,None,article_00592.pre.xmi:017,[]
11444,No task is too small.,None,article_00546.pre.xmi:016,[]
7105,We are a social broadcast company redefining the digital fan experience for youth sports.,None,article_00334.pre.xmi:002,[]
2992,Vision Statement,None,article_00145.pre.xmi:010,[]
8944,CD24Fc has a novel mechanism of action that is applicable to a number of autoimmune diseases that has shown good safety and tolerability in a Phase I clinical trial in healthy volunteers.,None,article_00425.pre.xmi:005,[]
1511,"As the director of solar asset development, he led the team responsible for managing over $550m across 11 projects in four regulated jurisdictions.",None,article_00078.pre.xmi:066,[]
12906,If a business managed to navigate through the long arduous process of gathering the required components and actually produced a finished product they then faced the equally difficult challenge of establishing a means for distributing and selling their finished good.,None,article_00622.pre.xmi:013,[]
11457,"The Foundation acts as a resource for young people living in Sussex and the surrounding area, supporting:",None,article_00547.pre.xmi:009,[]
1513,He is also the co-founder and former director of the Healthy Environment Alliance of Utah (HEAL Utah).,None,article_00078.pre.xmi:068,[]
8246,"Most importantly, it's a culture created by you.",None,article_00387.pre.xmi:004,[]
11591,Stay Connected | Follow us to see how we connect with our community.,None,article_00552.pre.xmi:008,[]
2596,"The CCJ Top 250 ranking treats all carriers under one umbrella as a single entity; carriers with significant ownership by an individual, family or company but not organized under a single management team are treated separately.",None,article_00127.pre.xmi:008,[]
12169,"Recently, Netrepid was selected as one of the 2014 Top 100 Hosted Service Providers as part of the MSP 500 list by CRN Magazine.",None,article_00585.pre.xmi:017,[]
573,Maximizing the Potential of a World-Class Basin,None,article_00033.pre.xmi:002,[]
7213,Natural Purity with Passionate Delivery,None,article_00341.pre.xmi:002,[]
11245,Dan Short,None,article_00540.pre.xmi:003,[]
4417,"AIM technology platform holds strong potential for products to treat cancer, inflammation, viral diseases, transplant rejection, autoimmunity, and more.",None,article_00215.pre.xmi:006,[]
4467,CAERUS Financial Limited is authorised and regulated by the Financial Conduct Authority.,None,article_00218.pre.xmi:031,[]
68,Customer satisfaction,None,article_00005.pre.xmi:011,[]
12372,"Badger Holdings is a large and successful property services group specialising in residential sales, lettings & management, financial services, surveying and property maintenance.",About,article_00594.pre.xmi:003,"[{u'text': u'Badger Holdings', u'endOffset': 15, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'property services', u'endOffset': 59, u'beginOffset': 42, u'label': u'ProductService'}, {u'text': u'residential sales, lettings & management, financial services, surveying and property maintenance', u'endOffset': 178, u'beginOffset': 82, u'label': u'MarketSegment'}]"
9957,"While the industries have varied, results have always come through constant focus on customer success, flawless execution and teams that are capable of rapid learning and innovation.",None,article_00480.pre.xmi:005,[]
9893,Mission,None,article_00478.pre.xmi:005,[]
7495,Professional advice from a reputable broker.,None,article_00354.pre.xmi:001,[]
4716,"strict warning: Declaration of views_handler_argument::options_validate() should be compatible with views_handler::options_validate($form, &$form_state) in /services/webpages/g/e/geologic.com/public/modules/acquia/views/handlers/views_handler_argument.inc on line 917.",None,article_00228.pre.xmi:007,[]
6714,Commitment to Excellence,None,article_00314.pre.xmi:017,[]
11914,Dr. Chris Hansis,None,article_00573.pre.xmi:008,[]
15823,Shop Under $5,None,article_00765.pre.xmi:001,[]
4602,"Van Rooyen serves as a volunteer himself, as the President of his homeowners association as well as through a position as an elected Community Development District Supervisor.",None,article_00225.pre.xmi:037,[]
14052,The site then compares the stock and prices of all the exporters on the system.,None,article_00681.pre.xmi:006,[]
11199,existing customers,None,article_00538.pre.xmi:001,[]
13789,"N-Dimension is a market leading Managed Security Service Provider (MSSP) with innovative solutions tailored to protect smart energy networks from cyber threats, improving system reliability and safeguarding critical infrastructures, data and assets.",About,article_00670.pre.xmi:003,"[{u'text': 'N-Dimension', u'endOffset': 11, u'beginOffset': 0, u'label': u'Company'}, {u'text': 'Managed Security Service', u'endOffset': 56, u'beginOffset': 32, u'label': u'ProductService'}, {u'text': 'protect smart energy networks from cyber threats, improving system reliability and safeguarding critical infrastructures, data and assets', u'endOffset': 248, u'beginOffset': 111, u'label': u'ValueProposition'}]"
13660,"The Fog is a Keystone of IoT, The Industrial Internet, and Industry 4.0.",None,article_00664.pre.xmi:005,[]
14080,Star & Van der Gugten,None,article_00681.pre.xmi:034,[]
4341,"© 2017 EPIC Industrial Solutions, LLC.",None,article_00210.pre.xmi:095,[]
3017,The Loopd Badge easily pairs with the Loopd App using the latest wireless technology.,None,article_00147.pre.xmi:005,[]
13392,"DGO's strict focus on cost controls, maintained through a combination of labour and cost efficiencies, ensures we maintain low-cost operations, thereby maximising profitability and enabling the company to generate free cash flow in a low commodity price environment.",None,article_00649.pre.xmi:006,[]
5046,"Take an online retailer for example - analysing customer feedback scores, seasonal trends and profit margins helps us to predict the company's future health.",None,article_00242.pre.xmi:009,[]
4075,Why: This is my go-to all day setting.,None,article_00202.pre.xmi:043,[]
13096,"The strategy has been well received in the marketplace, catapulting Unified Power to continued double-digit growth while maintaining a world-class service quality rating.",None,article_00632.pre.xmi:053,[]
16422,Get in touch if you're interested at team@edaid.com,None,article_00791.pre.xmi:047,[]
13029,US SIF is a member of the Global Sustainable Investment Alliance (GSIA).,None,article_00630.pre.xmi:020,[]
2115,"Easternwell is one of Australia's leading drilling, well servicing and remote mobile camp management companies.",About,article_00104.pre.xmi:003,"[{u'text': 'Easternwell', u'endOffset': 11, u'beginOffset': 0, u'label': u'Company'}, {u'text': 'drilling, well servicing and remote mobile camp management', u'endOffset': 100, u'beginOffset': 42, u'label': u'ProductService'}]"
8784,Chief Executive Officer,None,article_00419.pre.xmi:013,[]
5849,"Devin is responsible for the operations and growth of advertising, subscription and virtual currency revenues for if(we)'s products.",None,article_00276.pre.xmi:015,[]
10224,They also operate bi-directionally to facilitate the flow of energy from distributed generation sources (like wind and solar PV) back onto the grid.,None,article_00490.pre.xmi:004,[]
11785,What We Care About,None,article_00566.pre.xmi:002,[]
5012,Alexis Ohanian,None,article_00239.pre.xmi:095,[]
16302,MENTIS helps protects the data of some of the most iconic industries and institutions in the world.,About,article_00783.pre.xmi:011,"[{u'text': u'MENTIS', u'endOffset': 6, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'protects the data', u'endOffset': 30, u'beginOffset': 13, u'label': u'ValueProposition'}, {u'text': u'industries and institutions', u'endOffset': 85, u'beginOffset': 58, u'label': u'MarketProfile'}, {u'text': u'world', u'endOffset': 98, u'beginOffset': 93, u'label': u'MarketLocation'}]"
8539,"Todd is dedicated to caring for the skin of patients of all ages and has a broad knowledge base accrued over 35 years ranging from dermatology to solid organ transplant, surgery, urology, and primary care.",None,article_00402.pre.xmi:017,[]
16240,"We created PACE, which Scientific American hailed as an ""idea that will change the world.""",None,article_00780.pre.xmi:006,[]
4866,We are athletes for athletes.,None,article_00234.pre.xmi:008,[]
5712,"Brookfield Multiplex Services has developed a strategic, client-focused approach to asset management and service delivery that is both innovative and cost effective.",About,article_00265.pre.xmi:010,"[{u'text': u'Brookfield Multiplex Services', u'endOffset': 29, u'beginOffset': 0, u'label': u'Company'}, {u'text': u'strategic, client-focused approach to asset management and service delivery that is both innovative and cost effective', u'endOffset': 164, u'beginOffset': 46, u'label': u'ValueProposition'}]"
14142,We also step into late-stage projects struggling to reach completion.,None,article_00683.pre.xmi:013,[]
5804,Customers enjoy a significant economic and time-to-market advantage,None,article_00272.pre.xmi:027,[]
5576,"John Thornton Posey founded the Posey Company in 1937, when he built a bed cradle for a hospitalized friend who complained about the weight of the bedcovers on his feet.",None,article_00257.pre.xmi:013,[]
11727,"Part scientists and part artists, our canvas will be macronutrients like starches and proteins; our pixels will be flavor molecules.",None,article_00560.pre.xmi:043,[]
12834,Latest News,None,article_00618.pre.xmi:025,[]
11010,Versaterm's product is stable and all-inclusive.,None,article_00526.pre.xmi:021,[]
6969,Use reports to optimize and move forward.,None,article_00324.pre.xmi:019,[]
15060,"In partnership with other esteemed companies, Huntley was one of the first to experiment and successfully prove the Woodford Shale of Southern Oklahoma to be an economic horizon.",None,article_00731.pre.xmi:011,[]
